Timestamp,Username,IP Address,Service Name,Operation,Resource,Allowed,Impersonator,Family,Qualifier,Delegation Token ID,Destination,Permissions,Source,Usage Type,Operation Text,url,Privilege,Query ID,Session ID,Status,Database Name,Object Type,Resource Path,Table Name
2019-11-21T22:18:04.015Z,user_fyf,10.67.59.18,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00009,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00009,,,,,,,,,,,
2019-11-21T22:18:04.014Z,user_fyf,10.67.59.18,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00009,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00009,,,,,,,,,,,
2019-11-21T22:18:04.008Z,user_fyf,10.67.59.16,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00727,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00727,,,,,,,,,,,
2019-11-21T22:18:03.993Z,user_fyf,10.67.59.16,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00727,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00727,,,,,,,,,,,
2019-11-21T22:18:03.952Z,user_fyf,10.67.59.21,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00856,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00856,,,,,,,,,,,
2019-11-21T22:18:03.941Z,user_fyf,10.67.59.27,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00753,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00753,,,,,,,,,,,
2019-11-21T22:18:03.939Z,user_fyf,10.67.59.16,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00141,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00141,,,,,,,,,,,
2019-11-21T22:18:03.939Z,user_fyf,10.67.59.27,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00753,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00753,,,,,,,,,,,
2019-11-21T22:18:03.932Z,user_fyf,10.67.59.18,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00008,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00008,,,,,,,,,,,
2019-11-21T22:18:03.931Z,user_fyf,10.67.59.21,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00856,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00856,,,,,,,,,,,
2019-11-21T22:18:03.926Z,user_fyf,10.67.59.18,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00244,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00244,,,,,,,,,,,
2019-11-21T22:18:03.923Z,user_fyf,10.67.59.18,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00008,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00008,,,,,,,,,,,
2019-11-21T22:18:03.920Z,user_fyf,10.67.59.15,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00179,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00179,,,,,,,,,,,
2019-11-21T22:18:03.918Z,user_fyf,10.67.59.15,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00179,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00179,,,,,,,,,,,
2019-11-21T22:18:03.918Z,user_fyf,10.67.59.16,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00141,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00141,,,,,,,,,,,
2019-11-21T22:18:03.917Z,user_fyf,10.67.59.16,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00826,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00826,,,,,,,,,,,
2019-11-21T22:18:03.909Z,user_fyf,10.67.59.16,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00826,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00826,,,,,,,,,,,
2019-11-21T22:18:03.907Z,user_fyf,10.67.59.25,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00891,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00891,,,,,,,,,,,
2019-11-21T22:18:03.904Z,user_fyf,10.67.59.24,hdfs,open,/user/hive/warehouse/bddlcru.db/kcim23t/part-00582,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00582,,,,,,,,,,,
2019-11-21T22:18:03.903Z,user_fyf,10.67.59.25,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00891,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00891,,,,,,,,,,,
2019-11-21T22:18:03.898Z,user_fyf,10.67.59.18,hdfs,getfileinfo,/user/hive/warehouse/bddlcru.db/kcim23t/part-00244,true,,,,,,,/user/hive/warehouse/bddlcru.db/kcim23t/part-00244,,,,,,,,,,,
