num_contrato , poliza_aon , num_poliza_gnp , num_version , cve_marca , desc_vehiculo , num_serie , modelo_vehiculo , cve_status , desc_status , prima_neta , prima_total , cve_forma_pago , desc_forma_pago , primer_recibo , recibos_subsecuentes , num_recibos , fch_inicio_vigencia , fch_fin_vigencia , cve_vrs_tarifa , pct_valor_descuento_volumen , descr_larga_paquete  
61842	,	AON190000000329     	,	00000311502041	,	0	,	AUTVW2405     	,	LUPO TRENDLINE C/A AC.	,	9BWKB05Z274090867	,	2007	,	V	,	VIGOR               	,	2771.51	,	3736.95	,	M	,	MENSUAL                                           	,	790.16	,	267.89	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001566     	,	00000312802218	,	0	,	AUTVW6705     	,	VOLKSWAGEN VENTO HIGHLINE STD	,	MEX4G2604ET051076	,	2014	,	V	,	VIGOR               	,	4615.77	,	5876.3	,	T	,	TRIMESTRAL                                        	,	1611.83	,	1421.49	,	4	,	2019-01-22 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001309     	,	00000311517775	,	1	,	AUTMT0705     	,	ENDEAVOR XLS AUT. C/A AC.	,	4A4MM41S3AE005977	,	2010	,	A	,	ANULADA             	,	5145.39	,	6490.65	,	A	,	ANUAL                                             	,	6490.65	,	NULL	,	1	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000000290     	,	00000311501563	,	1	,	AUTBW1618     	,	BMW X1 SDRIVE 20I L4 2.0 TURBO STD	,	WBAVL910XEVT80097	,	2014	,	A	,	ANULADA             	,	6037.17	,	7525.07	,	M	,	MENSUAL                                           	,	1105.69	,	583.58	,	5	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001462     	,	00000312798150	,	0	,	AUTNI5103     	,	NISSAN KICKS UPPER EXCLUSIVE L4 1.6 AUT	,	3N8CP5HE0JL494567	,	2018	,	V	,	VIGOR               	,	8481.63	,	10360.69	,	T	,	TRIMESTRAL                                        	,	2615.95	,	2581.58	,	4	,	2019-01-18 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000000308     	,	00000311501803	,	0	,	AUTGM1448     	,	CHEVY C-2 5 PTAS C/A AC. DH MP3 H	,	3G1SF21X4BS128423	,	2011	,	V	,	VIGOR               	,	3036.77	,	4044.64	,	M	,	MENSUAL                                           	,	815.48	,	293.56	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000002090     	,	00000327381372	,	0	,	AUTAU2013     	,	AUDI Q5 2.0L TFSI ELITE QUATTRO TIPTRONIC	,	WAUCFD8R5GA089040	,	2016	,	V	,	VIGOR               	,	802.69	,	1453.12	,	M	,	MENSUAL                                           	,	1453.12	,	995.09	,	8	,	2019-05-03 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001766     	,	00000312800097	,	1	,	AUTMA0501     	,	MAZDA CX-7 SPORT	,	JM3ER2B38B0353290	,	2011	,	A	,	ANULADA             	,	3736.1	,	4855.86	,	M	,	MENSUAL                                           	,	604.36	,	425.15	,	12	,	2019-01-26 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000001224     	,	00000311516876	,	0	,	AUTMA0804     	,	MAZDA 2 I GRAND TOURING L4 1.5 AUT	,	3MDDJACV5GM104442	,	2016	,	V	,	VIGOR               	,	6700.81	,	8294.94	,	A	,	ANUAL                                             	,	8294.94	,	NULL	,	1	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000001034     	,	00000311514723	,	0	,	AUTSE0436     	,	SEAT TOLEDO STYLE I TECH L4 1.4 TURBO AUT	,	VSSCD2NH8F1018727	,	2015	,	V	,	VIGOR               	,	5348.65	,	6726.43	,	A	,	ANUAL                                             	,	6726.43	,	NULL	,	1	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000000147     	,	00000311499883	,	0	,	AUTNI2402     	,	X-TRAIL SLX 2.5L. AUT. C/A AC. Q.C.	,	JN8BT08T65W807260	,	2005	,	V	,	VIGOR               	,	3521.93	,	4607.49	,	M	,	MENSUAL                                           	,	862.76	,	340.43	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001499     	,	00000312801954	,	1	,	AUTVW1628     	,	JETTA A4 CONFORTLINE STD.	,	3VWSV29M34M025342	,	2004	,	A	,	ANULADA             	,	2779.21	,	3745.9	,	M	,	MENSUAL                                           	,	649.29	,	281.51	,	12	,	2019-01-18 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001271     	,	00000311517387	,	1	,	AUTCH3202     	,	ATOS GLS STD. C/A. AC.	,	KMHAH51G43U332456	,	2003	,	A	,	ANULADA             	,	2491.35	,	3411.97	,	A	,	ANUAL                                             	,	3411.97	,	NULL	,	1	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000000610     	,	00000311506729	,	0	,	AUTFR1212     	,	MUSTANG GT. STD. TIPICO	,	1FAFP42XX3F303043	,	2003	,	V	,	VIGOR               	,	5041.82	,	6370.5	,	M	,	MENSUAL                                           	,	1009.65	,	487.35	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000000124     	,	00000311499636	,	1	,	AUTVW3119     	,	VOLKSWAGEN GOL CL L4 1.6 5P PAQ SEG  STD	,	9BWAB05U4FP156946	,	2015	,	A	,	ANULADA             	,	7548.94	,	9278.77	,	M	,	MENSUAL                                           	,	1251.96	,	729.71	,	5	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001456     	,	00000312801681	,	0	,	AUTBW1162     	,	BMW 120I URBAN LINE L4 1.6 3P TURBO AUT	,	WBA1W1102H5D42216	,	2017	,	V	,	VIGOR               	,	8802.43	,	10732.77	,	M	,	MENSUAL                                           	,	924.84	,	891.63	,	12	,	2019-01-18 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001559     	,	00000312802168	,	1	,	AUTGM6907     	,	AVEO G COMFORT	,	3G1TB5BF0CL105174	,	2012	,	A	,	ANULADA             	,	3255.56	,	4298.45	,	A	,	ANUAL                                             	,	4298.45	,	NULL	,	1	,	2019-01-21 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001441     	,	00000312800972	,	0	,	AUTVW6719     	,	VOLKSWAGEN VENTO COMFORTLINE L4 1.6 STD	,	MEX5H2607HT014271	,	2017	,	V	,	VIGOR               	,	6826.1	,	8440.28	,	S	,	SEMESTRAL                                         	,	4481.15	,	3959.13	,	2	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000000602     	,	00000311506463	,	0	,	AUTCH4903     	,	JEEP PATRIOT BASE 4X2 AUT	,	1JFT28B39D107028	,	2009	,	V	,	VIGOR               	,	2962.85	,	3958.88	,	M	,	MENSUAL                                           	,	808.59	,	286.39	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000002337     	,	00000348322074	,	0	,	AUTSE0410     	,	SEAT TOLEDO REFERENCE STD	,	VSSAC4NHXK1008006	,	2019	,	V	,	VIGOR               	,	2409.61	,	3317.15	,	A	,	ANUAL                                             	,	3317.15	,	NULL	,	1	,	2019-09-04 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000000732     	,	00000311511091	,	1	,	AUTSE0117     	,	SEAT IBIZA REFERENCE 2.0L C/A AC. Q/C.	,	VSSEK46L27R003768	,	2007	,	A	,	ANULADA             	,	3583.23	,	4678.5	,	M	,	MENSUAL                                           	,	868.54	,	346.36	,	11	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000000145     	,	00000311499859	,	0	,	AUTCH5101     	,	DODGE JOURNEY SE RINES ALUMINIO 16	,	3C4BDCAB7CT244430	,	2012	,	V	,	VIGOR               	,	3993.76	,	5154.77	,	M	,	MENSUAL                                           	,	908.11	,	386.06	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001268     	,	00000311517353	,	0	,	AUTHO0407     	,	HONDA CR-V 2.4L EXL NAVI	,	3HGRM4872CG006436	,	2012	,	V	,	VIGOR               	,	5764.65	,	7208.99	,	A	,	ANUAL                                             	,	7208.99	,	NULL	,	1	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000002476     	,	00000366439305	,	0	,	AUTVW6714     	,	VOLKSWAGEN VENTO STARTLINE L4 1.6 STD	,	MEX5G2604FT095035	,	2015	,	V	,	VIGOR               	,	310.1	,	881.72	,	M	,	MENSUAL                                           	,	881.72	,	NULL	,	1	,	2019-12-13 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000001820     	,	00000312802663	,	0	,	AUTFR4208     	,	FUSION SE I4 AUT	,	3FA6P0H7XER287576	,	2014	,	V	,	VIGOR               	,	5436.33	,	6828.14	,	A	,	ANUAL                                             	,	6828.14	,	NULL	,	1	,	2019-01-31 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000002370     	,	00000353046022	,	0	,	AUTFR0419     	,	EXPLORER XLT V6 4X2	,	1FM5K7D88HGA38020	,	2017	,	V	,	VIGOR               	,	1571.94	,	2345.45	,	M	,	MENSUAL                                           	,	1129.75	,	607.85	,	3	,	2019-10-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000001973     	,	00000320179385	,	0	,	AUTKI0502     	,	KIA RIO EX L4 1.6 4P STD	,	3KPA35C1JE002575	,	2018	,	V	,	VIGOR               	,	5191.06	,	6543.62	,	M	,	MENSUAL                                           	,	628.01	,	657.29	,	10	,	2019-03-27 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000000412     	,	00000311503106	,	0	,	AUTGM8102     	,	CHEVROLET TRAX LT 6V AUT.	,	3GNCJ7CE8GL182223	,	2016	,	V	,	VIGOR               	,	5065.75	,	6398.26	,	M	,	MENSUAL                                           	,	1011.89	,	489.67	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000000207     	,	00000311500573	,	1	,	AUTNI3804     	,	NISSAN VERSA ADVANCE AUT	,	3N1CN7AD3CL808930	,	2012	,	A	,	ANULADA             	,	4442.03	,	5674.79	,	M	,	MENSUAL                                           	,	951.39	,	429.4	,	7	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000002482     	,	00000367229549	,	0	,	AUTNI3018     	,	TIIDA SEDAN 1.8L SENSE STD.	,	3N1BC1AS7EK212998	,	2014	,	V	,	VIGOR               	,	150.89	,	697.03	,	M	,	MENSUAL                                           	,	697.03	,	NULL	,	1	,	2019-12-19 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001219     	,	00000311516827	,	1	,	AUTMB2357     	,	MERCEDES BENZ C 180 CGI L4 1.6 LED AUT	,	WDDWF4AB3HF493235	,	2017	,	A	,	ANULADA             	,	12057.2	,	14508.35	,	A	,	ANUAL                                             	,	14508.35	,	NULL	,	1	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000001754     	,	00000312799992	,	0	,	AUTKI0203     	,	KIA SORENTO EX PACK V6 3.3 AUT	,	5XYPH4A58GG155263	,	2016	,	V	,	VIGOR               	,	11931.27	,	14362.27	,	M	,	MENSUAL                                           	,	1675.64	,	1153.33	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000001763     	,	00000312800048	,	0	,	AUTMT0705     	,	ENDEAVOR XLS AUT. C/A AC.	,	4A4MM41S26E051579	,	2006	,	V	,	VIGOR               	,	3859.1	,	4998.52	,	M	,	MENSUAL                                           	,	612.05	,	398.77	,	12	,	2019-01-25 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000001938     	,	00000316481050	,	0	,	AUTVW6237     	,	VOLKSWAGEN TIGUAN TRENDLINE PLUS L4 DSG	,	3VVKP65N2JM030788	,	2018	,	V	,	VIGOR               	,	6416.85	,	7965.54	,	M	,	MENSUAL                                           	,	600.94	,	736.46	,	11	,	2019-02-26 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	                    	,	00000316953975	,	1	,	CA1AN0101     	,	PICK UP ANTIGUO Y CLASICO	,	1FTEX15Y0NKA79980	,	1992	,	A	,	ANULADA             	,	3081.97	,	4097.05	,	M	,	MENSUAL                                           	,	819.93	,	297.92	,	5	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1083	,	65.17	,	RESP.CIVIL                                                                                                              
61842	,	AON190000000264     	,	00000311501217	,	0	,	AUTVW1679     	,	JETTA CLASICO 2.0 CL TEAM TIPTRONIC	,	3VW2V09M9CM049437	,	2012	,	V	,	VIGOR               	,	3594.21	,	4691.28	,	M	,	MENSUAL                                           	,	869.66	,	347.42	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000000299     	,	00000311501704	,	0	,	AUTNI3804     	,	NISSAN VERSA ADVANCE AUT	,	3N1CN7AD2CL880444	,	2012	,	V	,	VIGOR               	,	3967.64	,	5124.47	,	M	,	MENSUAL                                           	,	905.75	,	383.52	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001958     	,	00000316481258	,	0	,	AUTBW0962     	,	BMW X3 XDRIVE 20I BUSSINESS L4 2.0 TURBO AUT	,	WBAWY9101G0N55956	,	2016	,	V	,	VIGOR               	,	8873.01	,	10814.66	,	M	,	MENSUAL                                           	,	1551.59	,	1029.23	,	10	,	2019-03-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000001988     	,	00000320711898	,	0	,	AUTFR2722     	,	FORD ESCAPE S PLUS	,	WF0CP6A78F1B00826	,	2015	,	V	,	VIGOR               	,	3403.74	,	4470.34	,	M	,	MENSUAL                                           	,	550.12	,	435.58	,	10	,	2019-03-30 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000001289     	,	00000311517551	,	1	,	AUTAU2228     	,	AUDI A1 URBAN L4 1.4 TURBO 3P STD	,	WAUAYA8X7JB006028	,	2018	,	A	,	ANULADA             	,	10839.48	,	13095.8	,	A	,	ANUAL                                             	,	13095.8	,	NULL	,	1	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000001185     	,	00000311516389	,	1	,	AUTTO1901     	,	TOYOTA PRIUS	,	JTDKBRFU8G3016442	,	2016	,	A	,	ANULADA             	,	6688.65	,	8280.83	,	A	,	ANUAL                                             	,	8280.83	,	NULL	,	1	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000001032     	,	00000311514715	,	0	,	AUTVW1670     	,	VW JETTA SPORT STD.	,	3VWGW6AJ8DM272416	,	2013	,	V	,	VIGOR               	,	4442.09	,	5674.82	,	A	,	ANUAL                                             	,	5674.82	,	NULL	,	1	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001448     	,	00000312801657	,	1	,	AUTHO0206     	,	CIVIC EX AUT.	,	1HGES16702L904346	,	2002	,	A	,	ANULADA             	,	2575.68	,	3509.84	,	M	,	MENSUAL                                           	,	639.94	,	260.9	,	2	,	2019-01-18 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001461     	,	00000312801723	,	0	,	AUTNI0956     	,	SENTRA ADVANCE CVT	,	3N1AB7AD3FL608926	,	2015	,	V	,	VIGOR               	,	4711.5	,	5987.37	,	M	,	MENSUAL                                           	,	737.62	,	477.25	,	12	,	2019-01-18 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000000233     	,	00000311500854	,	1	,	AUTSZ0903     	,	SUZUKI VITARA GLX L4 1.6 AUT	,	TSMYD21S2GM220392	,	2016	,	A	,	ANULADA             	,	4199.6	,	4871.5	,	M	,	MENSUAL                                           	,	1009.44	,	487.15	,	4	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000000796     	,	00000311511950	,	0	,	AUTGM6908     	,	AVEO D STD	,	3G1TC5CF5CL147559	,	2012	,	V	,	VIGOR               	,	3444.3	,	4517.39	,	T	,	TRIMESTRAL                                        	,	1520.9	,	998.83	,	4	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000000213     	,	00000311500631	,	1	,	AUTHO0402     	,	HONDA CR-V LX	,	3HGRM3837CG002437	,	2012	,	A	,	ANULADA             	,	5439.39	,	6831.67	,	M	,	MENSUAL                                           	,	1048.09	,	525.78	,	5	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001896     	,	00000313392326	,	0	,	AUTCH0706     	,	VOYAGER AUSTERA	,	1C4GJ25R01B126315	,	2001	,	V	,	VIGOR               	,	2101.48	,	2959.72	,	A	,	ANUAL                                             	,	2959.72	,	NULL	,	1	,	2019-02-11 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001379     	,	00000311518559	,	1	,	AUTTO0606     	,	RAV4 BASE AUT.	,	2T3ZF9DV4CW143176	,	2012	,	A	,	ANULADA             	,	3214.03	,	4250.27	,	A	,	ANUAL                                             	,	4250.27	,	NULL	,	1	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000001168     	,	00000311516207	,	1	,	AUTTO0202     	,	COROLLA LE	,	2T1BR32E63C050081	,	2003	,	A	,	ANULADA             	,	2396.48	,	3301.92	,	A	,	ANUAL                                             	,	3301.92	,	NULL	,	1	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000002015     	,	00000322297482	,	0	,	AUTNI2405     	,	X-TRAIL SENSE	,	JN8BT27T9HW042272	,	2017	,	V	,	VIGOR               	,	4758.42	,	6041.74	,	M	,	MENSUAL                                           	,	1061.66	,	622.51	,	9	,	2019-04-05 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001372     	,	00000311518476	,	0	,	AUTGM6926     	,	AVEO F STD EE ABS A.AC. MP3 B/A 4P	,	3G1TB5AF5FL143313	,	2015	,	V	,	VIGOR               	,	4658.89	,	5926.31	,	A	,	ANUAL                                             	,	5926.31	,	NULL	,	1	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
